Python,EDA,SQL,POWER BI,Statistics
"1 - a,b,c,d","21 - b,c,d","41 - a,b,c,d","61 - a,b,c,d","81 - a,b,c,d"
"2 - b,d","22 - a,b,c,d","42 - a,b,c,d","62 - a,b,c,d","82 - a,b,c,d"
"3 - a,c,d","23 - a,b,c,d","43 - a,b,c,d","63 - a,b,c,d","83 - a,b,c,d"
"4 - b,c,d","24 - a,b,c,d","44 - a,b,c,d","64 - a,b,c,d","84 - a,b,c,d"
"5 - c,d","25 - a,b,c,d","45 - a,b,c,d","65 - a,b,c,d","85 - a,b,c,d"
"6 - a,b,d","26 - a,b,c,d","46 - a,b,c,d","66 - a,b,c,d","86 - a,b,c,d"
"7 - c,d","27 - a,b,c,d","47 - a,b,c,d","67 - a,b,c,d","87 - a,b,c"
"8 - a,b,c","28 - a,b,c,d","48 - a,b,c,d","68 - a,b,c,d",88 - b
"9 - a,b,c,d","29 - b,c,d","49 - a,b,c,d","69 - a,b,c,d","89 - a,b,c"
"10 - a,b,c,d","30 - a,b,c,d","50 - a,d","70 - a,b,c,d","90 - a,b,c,d"
"11 - a,b,c,d","31 - a,b,c,d","51 - a,b,c,d","71 - a,b,c,d","91 - a,b"
"12 - a,b,c,d","32 - b,c,d","52 - a,b,c,d","72 - a,b,c,d",92 - a
"13 - a,b,c,d","33 - a,b,c,d","53 - a,b,c,d","73 - a,b,c,d","93 - a,b,c"
"14 - a,b,c,d","34 - a,b,c,d","54 - a,b,c,d","74 - a,b,c,d","94 - a,b"
"15 - a,b,c,d","35 - b,c,d","55 - c,d","75 - a,b,c,d","95 - a,b"
"16 - a,b,c,d","36 - a,b,c,d",56 - b,"76 - a,b,c,d",96 - a
17 - a,"37 - a,b,c,d",57 -,"77 - a,b,c,d",97 - a
18 -,"38 - a,b,c",58 -,"78 - a,b,c,d",98 -
19 -,"39 - a,c,d",59 -,"79 - a,b,c,d",99 - a
20 -,40 - a,60 -,"80 - a,b,c,d",100 - a
