Python,EDA,SQL,POWER BI,Statistics
"1 - a,b,c,d","21 - a,b,c,d","41 - a,b,c,d","61 - a,b,d","81 - a,b,c,d"
"2 - a,b,c,d","22 - a,b,c,d","42 - a,b,c,d","62 - a,b,c,d","82 - a,b,c,d"
"3 - a,b,c,d","23 - a,b,c,d","43 - a,b,c,d","63 - a,b,c,d",83 -
"4 - a,b,c,d","24 - a,b,c","44 - a,b,c,d","64 - a,b,c,d",84 - a
"5 - a,b,c,d",25 - b,45 - b,"65 - a,c,d","85 - a,b"
"6 - a,b,c,d","26 - a,b,c","46 - a,d","66 - b,d",86 - b
"7 - a,b,d","27 - a,b,c,d","47 - a,b",67 - c,87 - a
"8 - a,b,c","28 - a,b,c,d","48 - a,b,d","68 - a,b",88 - b
"9 - a,b,d","29 - a,b,c,d",49 - b,"69 - a,c,d",89 -
"10 - a,b","30 - a,b,c,d",50 - a,"70 - a,b","90 - a,c"
"11 - a,d","31 - a,b,c,d","51 - a,b,d",71 - c,91 -
"12 - a,b,c","32 - a,b,c,d",52 - b,"72 - a,c",92 - b
"13 - a,b,c,d","33 - a,b,c,d","53 - a,b,c,d",73 - c,93 - b
"14 - a,b","34 - a,b,c,d",54 - a,"74 - a,b,c,d",94 - b
"15 - a,b,c,d","35 - a,b,c,d",55 - b,75 - b,"95 - a,b"
"16 - a,b,c","36 - a,b,c,d","56 - a,d","76 - a,b,d","96 - b,d"
"17 - a,b,d","37 - b,d",57 - a,"77 - a,b,c,d",97 -
"18 - a,b","38 - a,b,c,d",58 -,78 - d,98 - a
"19 - a,b,d","39 - a,b,c,d","59 - a,b,c,d","79 - a,c,d",99 - b
"20 - a,b","40 - a,b,c,d","60 - a,b,c,d",80 - a,"100 - b,c"
