Python,EDA,SQL,POWER BI,Statistics
"1 - a,d","21 - a,b,d","41 - a,c,d","61 - a,b,c,d",81 - d
"2 - c,d",22 - a,42 - b,"62 - a,b,c,d",82 - d
"3 - a,b,c,d",23 - a,43 - c,63 - a,"83 - a,b"
"4 - a,b,c",24 - b,44 - c,"64 - b,c,d",84 - a
"5 - b,c,d",25 - b,45 - a,65 - a,"85 - a,d"
6 - d,26 - a,"46 - b,d",66 - d,86 -
7 -,"27 - a,b","47 - a,d",67 - a,87 - a
"8 - a,b,c,d","28 - a,c,d",48 - b,68 - c,"88 - a,c"
"9 - a,b,d",29 - a,49 - b,"69 - c,d",89 - c
"10 - a,b,c,d",30 - a,"50 - c,d","70 - c,d","90 - a,c"
"11 - a,b,c","31 - a,b","51 - a,b","71 - c,d",91 - b
12 - c,32 - c,"52 - b,d","72 - b,c","92 - a,c"
13 -,"33 - a,d",53 - b,"73 - a,b,c","93 - a,c,d"
14 -,"34 - a,c,d",54 -,74 - a,94 - b
15 -,"35 - a,b,d","55 - a,c,d",75 - a,"95 - b,c,d"
16 -,"36 - a,c","56 - b,c,d","76 - b,d",96 - c
17 -,"37 - a,b,c,d","57 - a,b,c,d","77 - c,d",97 -
18 -,"38 - a,b,c",58 - b,78 - d,98 -
19 -,"39 - b,d","59 - a,c,d",79 - d,99 -
20 -,"40 - c,d",60 - b,"80 - a,b,c,d",100 -
