Python,EDA,SQL,POWER BI,Statistics
"1 - a,b,c","21 - a,c,d","41 - a,b,c","61 - a,b,c,d","81 - a,b,c,d"
"2 - a,c,d","22 - a,b,c,d","42 - a,b,c,d","62 - a,b,c,d",82 - a
"3 - a,c,d","23 - a,b,c","43 - a,c","63 - a,b,c,d","83 - a,b"
"4 - b,c","24 - a,b,c,d","44 - a,b","64 - a,b,c,d","84 - a,c"
5 -,"25 - a,b","45 - a,b,c,d","65 - a,b,c,d","85 - a,b"
"6 - a,b,c,d","26 - a,b,c","46 - a,b,c,d","66 - a,b,c,d",86 - b
"7 - a,d","27 - a,b,c","47 - a,c,d","67 - a,b,c,d","87 - a,b"
8 - c,"28 - b,c","48 - b,c","68 - a,b,c,d","88 - a,b"
9 - a,"29 - a,b,c","49 - a,b,c","69 - a,b,c,d","89 - a,b,d"
10 - d,"30 - a,b","50 - b,c,d","70 - a,b,c,d","90 - a,b"
"11 - a,c","31 - a,b,d","51 - a,b,c","71 - a,b,c,d","91 - a,b,c,d"
12 - a,"32 - c,d","52 - a,b,d","72 - a,b,c,d","92 - b,c,d"
13 - a,"33 - b,c",53 - a,"73 - b,d","93 - b,d"
"14 - a,d","34 - a,b,c,d","54 - a,c,d","74 - a,d","94 - a,c"
"15 - b,d","35 - a,b,c,d","55 - a,b,c","75 - b,c,d","95 - b,c,d"
16 - a,"36 - a,b,c,d","56 - a,b,c,d",76 - d,96 - b
17 -,"37 - a,b,c,d","57 - a,d","77 - a,b,c,d",97 - b
18 - d,38 - c,58 -,"78 - b,c,d",98 - a
"19 - a,d",39 - d,"59 - a,c","79 - b,c,d",99 - a
20 - b,40 - b,"60 - a,b","80 - a,b,c,d",100 - b
