Python,EDA,SQL,POWER BI,Statistics
"1 - a,b,c","21 - b,c,d","41 - a,b,c,d","61 - a,b,c,d","81 - a,b,d"
2 - a,"22 - a,d",42 - b,"62 - a,c",82 - a
3 - c,"23 - a,d",43 - c,63 - a,83 - b
"4 - b,d",24 -,44 - d,64 - b,84 - a
5 -,25 - b,45 - b,65 - d,85 - a
6 - b,"26 - b,c",46 - b,"66 - a,c",86 - c
7 - a,27 -,47 - a,"67 - b,d","87 - a,c"
8 - a,28 - a,48 - a,68 -,88 - b
9 - c,29 - a,"49 - a,d","69 - a,b",89 - b
10 - a,"30 - b,d",50 - d,70 - b,90 - a
"11 - c,d",31 - d,51 - c,"71 - a,c,d",91 - b
12 -,32 - c,52 -,72 -,92 - a
"13 - a,d",33 -,"53 - a,b",73 - a,93 - a
14 -,34 - a,54 - c,74 - b,94 - c
15 - a,35 - b,55 - d,75 - b,95 - d
16 - a,"36 - b,d",56 -,76 - c,"96 - a,c"
"17 - b,d",37 -,57 - a,77 - b,97 -
18 - d,38 - a,58 -,78 - a,"98 - a,b"
19 - d,39 - c,59 - c,79 - b,99 - b
20 -,"40 - a,b",60 - a,80 - b,100 - a
