Python,EDA,SQL,POWER BI,Statistics
"1 - a,b,c","21 - a,b,d",41 - c,61 - b,81 - a
"2 - a,b,c,d","22 - a,b","42 - b,c,d","62 - a,b",82 - a
"3 - b,d","23 - a,b,c,d",43 - d,"63 - b,c",83 - c
"4 - a,c,d","24 - a,b,c,d",44 - b,"64 - c,d",84 - a
"5 - b,d","25 - a,b,c,d","45 - a,b,c","65 - a,b,c,d",85 -
"6 - a,b,c,d","26 - a,b,c,d","46 - a,d",66 -,"86 - a,b"
"7 - b,c,d","27 - a,b,c,d",47 - a,"67 - b,d",87 - a
"8 - b,d","28 - a,b,c,d","48 - a,b","68 - b,c",88 - b
9 - b,"29 - a,b,c,d","49 - a,b,c,d",69 - a,89 - a
10 - d,"30 - a,b,c,d","50 - a,b,c,d",70 - b,90 - a
"11 - a,b,d","31 - a,b,c,d","51 - a,b,c,d",71 - c,91 - a
"12 - a,d","32 - a,b,c,d","52 - a,b,c,d",72 - a,92 - a
"13 - b,c","33 - a,b,c,d","53 - a,b,c,d","73 - a,b","93 - b,c"
14 - a,"34 - a,b,c","54 - a,b,c,d",74 - a,94 - d
15 - d,"35 - a,b,c,d","55 - c,d","75 - a,b,c,d",95 - b
16 - b,"36 - a,b,c,d","56 - b,d","76 - a,b,c,d",96 - a
17 -,"37 - a,b,c,d","57 - a,b","77 - b,c,d",97 -
"18 - a,b","38 - a,b,c,d",58 - d,"78 - b,c,d",98 -
19 -,"39 - a,b,c,d",59 - a,79 - a,"99 - a,b,c"
20 -,"40 - a,b,c",60 -,80 -,100 - a
