Python,EDA,SQL,POWER BI,Statistics
"1 - a,b,c,d","21 - a,c,d","41 - a,b,c,d","61 - a,b,c,d","81 - a,b,c,d"
"2 - a,b,c,d","22 - a,b,c,d","42 - a,b,c,d","62 - a,b,c,d","82 - a,b,c,d"
3 - a,23 - d,"43 - a,b,c,d","63 - a,b,c,d","83 - a,b,c,d"
4 - b,"24 - b,c",44 - a,"64 - a,b,c,d","84 - a,b"
5 - b,25 - c,"45 - a,b,c,d","65 - a,b,c,d","85 - a,b"
"6 - c,d","26 - a,b,c,d","46 - a,b","66 - a,b,c,d",86 - a
7 - d,"27 - b,c","47 - a,b,c","67 - b,c,d","87 - a,c,d"
8 -,"28 - a,c","48 - a,b","68 - a,b,c","88 - a,d"
"9 - a,c",29 - c,49 - b,"69 - a,b,c",89 - a
10 - c,"30 - a,c","50 - a,d","70 - a,b,d","90 - a,c"
11 - c,"31 - b,d",51 -,"71 - a,b,d",91 - c
12 -,32 - a,"52 - a,c",72 - d,92 - b
"13 - c,d",33 - d,"53 - a,b","73 - a,d",93 - a
14 -,34 - c,54 - d,74 - a,94 - d
15 -,35 -,"55 - a,b,d","75 - a,c,d","95 - a,b"
16 - b,"36 - a,b","56 - a,c","76 - a,b,c",96 - c
17 -,"37 - a,c","57 - a,b,c",77 - b,"97 - b,c"
18 -,"38 - b,c","58 - a,b,c","78 - b,d",98 - d
19 -,39 - c,"59 - a,b","79 - a,b","99 - a,b"
20 -,"40 - a,d",60 - b,80 - a,100 - a
