Python,EDA,SQL,POWER BI,Statistics
"1 - a,b,c,d","21 - a,b",41 - b,61 - b,"81 - a,b,d"
"2 - c,d","22 - a,b,c,d",42 - b,62 - a,82 -
"3 - c,d","23 - a,b",43 - c,"63 - b,d",83 - b
"4 - c,d","24 - a,b,c,d",44 - b,64 - b,84 - a
5 - c,"25 - a,b,c,d",45 - c,"65 - c,d","85 - a,c"
6 - d,"26 - a,b,c,d",46 - b,66 - a,86 -
"7 - a,b,c,d",27 - c,"47 - a,d","67 - b,c,d",87 - b
"8 - c,d","28 - a,b,c,d",48 - b,"68 - a,d","88 - a,b"
9 - d,"29 - a,c",49 - a,69 - a,89 -
"10 - a,b,c,d","30 - a,b",50 -,"70 - a,b",90 - b
"11 - a,b,c,d","31 - a,b","51 - c,d",71 - d,"91 - a,b"
"12 - a,c,d",32 -,52 - d,"72 - a,d",92 -
"13 - a,b",33 -,53 - a,73 - b,93 - d
14 -,34 -,"54 - a,b",74 - c,"94 - a,b,c"
15 -,35 -,55 -,75 - a,95 -
16 -,36 -,56 -,76 - d,96 - b
17 -,37 -,57 -,77 - b,"97 - a,c"
18 -,38 -,58 -,78 - a,98 - c
19 -,39 -,59 -,79 - d,"99 - a,d"
20 -,40 -,60 -,"80 - a,b","100 - a,b"
