Python,EDA,SQL,POWER BI,Statistics
"1 - a,d","21 - a,b,d","41 - a,b,c,d","61 - a,b,c,d",81 -
2 -,"22 - a,b",42 - a,"62 - a,b,c,d","82 - b,c"
3 - a,23 - d,43 -,"63 - a,b,c",83 -
4 - b,24 -,"44 - b,c",64 - a,84 - d
"5 - c,d","25 - a,d",45 -,"65 - a,b,c",85 - b
6 -,26 - a,46 - a,66 - b,86 - d
7 - b,27 - c,47 - c,"67 - a,c,d",87 -
"8 - a,b",28 - b,48 - b,68 - b,88 - c
9 -,29 - b,"49 - b,d",69 -,89 - c
10 -,"30 - a,d",50 - d,70 - d,90 - c
11 -,31 - a,"51 - a,d",71 - b,91 - b
12 -,32 - b,52 -,72 - b,92 - b
13 -,"33 - a,d",53 - a,"73 - b,d",93 -
14 -,34 - b,54 - a,"74 - b,d",94 -
15 -,35 -,"55 - a,b,d",75 - a,95 -
16 -,"36 - a,d",56 -,76 - c,96 -
17 -,37 - c,57 - a,77 - b,97 -
18 -,38 -,"58 - b,d","78 - a,d",98 -
19 -,39 - d,59 - a,79 - c,99 -
20 -,40 -,"60 - b,d",80 - b,100 -
