Python,EDA,SQL,POWER BI,Statistics
"1 - a,b,c,d","21 - a,b,c","41 - a,b,c,d","61 - a,b,d","81 - b,c"
2 - a,"22 - a,d",42 -,"62 - b,c,d","82 - a,b"
3 -,"23 - a,b",43 - a,63 -,"83 - a,c"
4 -,24 -,"44 - a,c,d","64 - a,b,c,d",84 - a
5 -,"25 - c,d",45 -,"65 - b,c,d",85 - a
6 -,"26 - a,b",46 - a,"66 - b,c",86 - b
7 -,27 - d,47 - c,67 -,87 -
8 -,28 - c,48 - a,"68 - c,d",88 - a
9 -,29 - a,"49 - a,d",69 - d,"89 - a,b"
10 -,30 - a,50 - c,70 - d,90 - b
11 -,31 - b,"51 - a,c,d","71 - a,b,d",91 - a
12 -,32 - d,"52 - b,c,d",72 -,"92 - a,c"
13 -,"33 - a,c","53 - b,d","73 - a,b,c,d",93 - d
14 -,34 - d,54 - a,74 - c,94 - c
15 -,35 - d,55 - d,75 - d,95 - b
16 -,"36 - a,c",56 - c,"76 - b,d",96 - b
17 -,37 - d,57 - a,77 - a,"97 - a,d"
18 -,38 - a,58 - c,78 -,98 - d
19 -,39 - a,59 - a,79 -,99 - c
20 -,"40 - b,d",60 -,"80 - a,d",100 - a
